date,year,month,mine_id,mine_name,target_ore_tonnes,actual_ore_tonnes,waste_tonnes,stripping_ratio,target_mn_grade,actual_mn_grade,recovery_pct,recovered_mn_tonnes,working_days,scheduled_hours,operating_hours,downtime_hours,fleet_availability_pct,fleet_utilization_pct,tonnage_shortfall,shortfall_pct,shortfall_risk_status,power_outage_hours,is_synthetic
2024-11-01,2024,11,MOIL-UK-04,Ukwa Mine,20827,20749,51417,2.48,33.4,33.66,89.9,6278.7,26,520.0,341.5,178.5,85.4,76.9,78,0.4,On Track,6.4,True
2024-12-01,2024,12,MOIL-UK-04,Ukwa Mine,19071,18995,64086,3.37,33.4,33.78,90.1,5781.3,27,540.0,413.9,126.1,88.5,86.6,76,0.4,On Track,18.8,True
2025-01-01,2025,1,MOIL-UK-04,Ukwa Mine,19837,20404,75968,3.72,33.4,34.65,89.5,6327.6,27,540.0,345.3,194.7,89.3,71.6,-567,-2.9,On Track,27.7,True
2025-02-01,2025,2,MOIL-UK-04,Ukwa Mine,19959,16253,54238,3.34,33.4,35.4,89.1,5126.4,27,540.0,349.8,190.2,77.3,83.8,3706,18.6,Critical Shortfall,6.9,True
2025-03-01,2025,3,MOIL-UK-04,Ukwa Mine,20681,17341,44518,2.57,33.4,34.46,87.6,5234.7,26,520.0,325.7,194.3,78.3,80.0,3340,16.2,Critical Shortfall,20.4,True
2025-04-01,2025,4,MOIL-UK-04,Ukwa Mine,20014,18473,48910,2.65,33.4,32.02,85.9,5081.0,27,540.0,380.6,159.4,86.9,81.1,1541,7.7,Moderate Warning,27.7,True
2025-05-01,2025,5,MOIL-UK-04,Ukwa Mine,20224,21263,62540,2.94,33.4,32.83,88.7,6191.8,25,500.0,357.8,142.2,90.0,79.5,-1039,-5.1,On Track,7.7,True
2025-06-01,2025,6,MOIL-UK-04,Ukwa Mine,19505,17565,44265,2.52,33.4,31.64,89.9,4996.3,27,540.0,398.3,141.7,84.2,87.6,1940,9.9,Moderate Warning,30.8,True
2025-07-01,2025,7,MOIL-UK-04,Ukwa Mine,20926,13568,37002,2.73,33.4,34.05,88.8,4102.5,22,440.0,304.6,135.4,80.5,86.0,7358,35.2,Critical Shortfall,26.2,True
2025-08-01,2025,8,MOIL-UK-04,Ukwa Mine,19623,13385,29642,2.21,33.4,30.79,89.1,3672.0,22,440.0,259.7,180.3,81.4,72.5,6238,31.8,Critical Shortfall,9.4,True
2025-09-01,2025,9,MOIL-UK-04,Ukwa Mine,19110,12096,31626,2.61,33.4,31.25,84.0,3175.2,22,440.0,248.1,191.9,70.4,80.1,7014,36.7,Critical Shortfall,14.2,True
2025-10-01,2025,10,MOIL-UK-04,Ukwa Mine,19765,18388,61710,3.36,33.4,34.04,88.8,5558.2,26,520.0,279.7,240.3,76.3,70.5,1377,7.0,Moderate Warning,8.6,True
2025-11-01,2025,11,MOIL-UK-04,Ukwa Mine,20050,20378,61452,3.02,33.4,33.23,89.0,6026.7,26,520.0,373.6,146.4,91.3,78.7,-328,-1.6,On Track,11.9,True
2025-12-01,2025,12,MOIL-UK-04,Ukwa Mine,19795,19071,60655,3.18,33.4,34.69,89.5,5921.1,27,540.0,355.2,184.8,86.9,75.7,724,3.7,On Track,9.1,True
